,BLOCK_NAME_MAP_TABLE,BLOCK_STOCK_CONTEXT
d813,深港通,"33:000001,33:000002,33:000006,33:000008,33:000009,33:000011,33:000012,33:000016,33:000018,33:000021,33:000022,33:000025,33:000027,33:000028,33:000029,33:000030,33:000031,33:000034,33:000035,33:000036,33:000039,33:000040,33:000042,33:000043,33:000046,33:000049,33:000050,33:000058,33:000059,33:000060,33:000061,33:000062,33:000063,33:000065,33:000066,33:000068,33:000069,33:000070,33:000078,33:000088,33:000089,33:000090,33:000096,33:000099,33:000100,33:000150,33:000156,33:000157,33:000158,33:000166,33:000333,33:000338,33:000400,33:000401,33:000402,33:000407,33:000413,33:000415,33:000417,33:000418,33:000423,33:000425,33:000426,33:000429,33:000488,33:000498,33:000501,33:000503,33:000506,33:000507,33:000513,33:000514,33:000516,33:000517,33:000525,33:000528,33:000533,33:000536,33:000538,33:000539,33:000540,33:000541,33:000543,33:000547,33:000550,33:000552,33:000553,33:000555,33:000558,33:000559,33:000560,33:000561,33:000563,33:000564,33:000568,33:000571,33:000572,33:000576,33:000581,33:000582,33:000584,33:000585,33:000587,33:000591,33:000592,33:000596,33:000598,33:000600,33:000601,33:000603,33:000605,33:000607,33:000612,33:000615,33:000616,33:000617,33:000620,33:000623,33:000625,33:000627,33:000630,33:000631,33:000636,33:000650,33:000651,33:000652,33:000656,33:000657,33:000661,33:000662,33:000665,33:000666,33:000667,33:000669,33:000671,33:000673,33:000676,33:000680,33:000681,33:000683,33:000685,33:000686,33:000687,33:000688,33:000690,33:000703,33:000709,33:000710,33:000712,33:000717,33:000718,33:000719,33:000723,33:000725,33:000726,33:000727,33:000728,33:000729,33:000732,33:000733,33:000735,33:000738,33:000739,33:000750,33:000751,33:000756,33:000758,33:000761,33:000762,33:000766,33:000767,33:000768,33:000776,33:000777,33:000778,33:000783,33:000786,33:000792,33:000793,33:000795,33:000796,33:000797,33:000799,33:000800,33:000801,33:000802,33:000806,33:000807,33:000810,33:000811,33:000815,33:000818,33:000821,33:000822,33:000823,33:000825,33:000826,33:000828,33:000829,33:000830,33:000836,33:000838,33:000839,33:000848,33:000851,33:000856,33:000858,33:000860,33:000861,33:000863,33:000869,33:000875,33:000876,33:000877,33:000878,33:000881,33:000882,33:000883,33:000887,33:000888,33:000889,33:000893,33:000895,33:000897,33:000898,33:000900,33:000901,33:000902,33:000903,33:000905,33:000908,33:000910,33:000915,33:000917,33:000921,33:000925,33:000926,33:000928,33:000930,33:000933,33:000936,33:000937,33:000938,33:000939,33:000951,33:000957,33:000958,33:000959,33:000960,33:000961,33:000963,33:000965,33:000968,33:000969,33:000970,33:000971,33:000973,33:000975,33:000976,33:000977,33:000979,33:000980,33:000981,33:000983,33:000987,33:000988,33:000989,33:000990,33:000997,33:000998,33:000999,33:001696,33:001896,33:001979,33:002001,33:002002,33:002004,33:002007,33:002008,33:002010,33:002011,33:002013,33:002016,33:002018,33:002019,33:002020,33:002022,33:002023,33:002024,33:002025,33:002027,33:002028,33:002029,33:002030,33:002031,33:002032,33:002035,33:002036,33:002038,33:002040,33:002041,33:002042,33:002043,33:002044,33:002045,33:002047,33:002048,33:002049,33:002050,33:002051,33:002055,33:002056,33:002061,33:002063,33:002064,33:002065,33:002067,33:002068,33:002073,33:002074,33:002075,33:002078,33:002080,33:002081,33:002083,33:002085,33:002086,33:002089,33:002091,33:002092,33:002093,33:002094,33:002095,33:002097,33:002099,33:002100,33:002104,33:002106,33:002108,33:002110,33:002111,33:002114,33:002117,33:002118,33:002120,33:002121,33:002122,33:002123,33:002124,33:002126,33:002127,33:002128,33:002129,33:002130,33:002131,33:002135,33:002138,33:002139,33:002142,33:002143,33:002145,33:002146,33:002147,33:002148,33:002151,33:002152,33:002153,33:002155,33:002156,33:002157,33:002158,33:002161,33:002167,33:002168,33:002170,33:002171,33:002174,33:002175,33:002176,33:002178,33:002179,33:002180,33:002182,33:002183,33:002185,33:002190,33:002191,33:002192,33:002195,33:002197,33:002202,33:002203,33:002204,33:002206,33:002210,33:002212,33:002215,33:002217,33:002221,33:002222,33:002223,33:002224,33:002226,33:002230,33:002233,33:002236,33:002237,33:002239,33:002240,33:002241,33:002242,33:002244,33:002245,33:002246,33:002247,33:002249,33:002250,33:002251,33:002252,33:002254,33:002256,33:002260,33:002261,33:002262,33:002263,33:002265,33:002266,33:002267,33:002268,33:002269,33:002271,33:002273,33:002275,33:002276,33:002277,33:002279,33:002280,33:002281,33:002282,33:002283,33:002284,33:002285,33:002287,33:002292,33:002293,33:002294,33:002298,33:002299,33:002301,33:002302,33:002303,33:002304,33:002305,33:002307,33:002308,33:002309,33:002310,33:002311,33:002313,33:002314,33:002315,33:002317,33:002318,33:002320,33:002321,33:002322,33:002324,33:002325,33:002326,33:002327,33:002329,33:002332,33:002335,33:002340,33:002341,33:002342,33:002343,33:002344,33:002345,33:002348,33:002349,33:002352,33:002353,33:002354,33:002358,33:002359,33:002361,33:002364,33:002365,33:002366,33:002367,33:002368,33:002371,33:002372,33:002373,33:002375,33:002376,33:002378,33:002383,33:002384,33:002385,33:002387,33:002389,33:002390,33:002392,33:002393,33:002396,33:002399,33:002400,33:002402,33:002405,33:002407,33:002408,33:002410,33:002411,33:002413,33:002414,33:002415,33:002416,33:002418,33:002419,33:002421,33:002422,33:002424,33:002425,33:002426,33:002427,33:002428,33:002429,33:002431,33:002433,33:002434,33:002436,33:002437,33:002439,33:002440,33:002444,33:002445,33:002446,33:002447,33:002448,33:002449,33:002450,33:002456,33:002458,33:002460,33:002461,33:002462,33:002463,33:002464,33:002465,33:002466,33:002467,33:002468,33:002470,33:002471,33:002474,33:002475,33:002477,33:002479,33:002481,33:002482,33:002484,33:002488,33:002489,33:002491,33:002493,33:002496,33:002497,33:002498,33:002500,33:002501,33:002502,33:002503,33:002505,33:002506,33:002507,33:002508,33:002509,33:002510,33:002512,33:002515,33:002516,33:002517,33:002518,33:002519,33:002522,33:002527,33:002530,33:002531,33:002537,33:002538,33:002539,33:002540,33:002542,33:002544,33:002545,33:002547,33:002550,33:002551,33:002554,33:002555,33:002557,33:002558,33:002563,33:002564,33:002567,33:002568,33:002572,33:002573,33:002577,33:002581,33:002583,33:002586,33:002588,33:002589,33:002590,33:002594,33:002595,33:002596,33:002597,33:002600,33:002601,33:002602,33:002603,33:002608,33:002609,33:002610,33:002611,33:002614,33:002616,33:002618,33:002619,33:002622,33:002624,33:002625,33:002626,33:002630,33:002631,33:002635,33:002636,33:002639,33:002640,33:002642,33:002643,33:002646,33:002648,33:002650,33:002651,33:002653,33:002654,33:002657,33:002658,33:002662,33:002663,33:002664,33:002665,33:002668,33:002670,33:002672,33:002673,33:002675,33:002678,33:002680,33:002681,33:002685,33:002690,33:002695,33:002697,33:002698,33:002699,33:002701,33:002703,33:002707,33:002709,33:002711,33:002714,33:002716,33:002717,33:002721,33:002727,33:002736,33:002737,33:002739,33:002745,33:002747,33:002752,33:002766,33:002769,33:002773,33:002782,33:002792,33:002797,33:002812,33:002815,33:002818,33:002821,33:002831,33:002833,33:002839,33:002841,33:002845,33:002850,33:002859,33:002867,33:002910,33:300001,33:300002,33:300003,33:300005,33:300008,33:300009,33:300010,33:300011,33:300012,33:300014,33:300015,33:300017,33:300020,33:300021,33:300024,33:300026,33:300027,33:300031,33:300032,33:300033,33:300034,33:300036,33:300037,33:300038,33:300039,33:300043,33:300044,33:300045,33:300053,33:300054,33:300055,33:300058,33:300059,33:300064,33:300065,33:300068,33:300070,33:300072,33:300073,33:300075,33:300077,33:300078,33:300079,33:300081,33:300083,33:300085,33:300088,33:300090,33:300096,33:300097,33:300098,33:300100,33:300101,33:300102,33:300109,33:300110,33:300113,33:300115,33:300116,33:300118,33:300122,33:300124,33:300128,33:300131,33:300133,33:300134,33:300136,33:300137,33:300142,33:300144,33:300145,33:300146,33:300147,33:300148,33:300156,33:300157,33:300159,33:300166,33:300168,33:300170,33:300171,33:300178,33:300180,33:300182,33:300183,33:300185,33:300187,33:300188,33:300191,33:300197,33:300199,33:300202,33:300203,33:300204,33:300207,33:300212,33:300215,33:300216,33:300221,33:300222,33:300224,33:300226,33:300229,33:300237,33:300238,33:300244,33:300251,33:300252,33:300253,33:300255,33:300256,33:300257,33:300262,33:300266,33:300269,33:300271,33:300273,33:300274,33:300284,33:300285,33:300287,33:300288,33:300291,33:300292,33:300294,33:300296,33:300297,33:300299,33:300300,33:300302,33:300304,33:300307,33:300308,33:300310,33:300315,33:300316,33:300317,33:300322,33:300323,33:300324,33:300327,33:300332,33:300334,33:300336,33:300337,33:300339,33:300343,33:300347,33:300348,33:300351,33:300352,33:300353,33:300355,33:300359,33:300363,33:300364,33:300367,33:300369,33:300373,33:300377,33:300383,33:300386,33:300398,33:300406,33:300408,33:300409,33:300413,33:300418,33:300422,33:300431,33:300432,33:300433,33:300438,33:300439,33:300450,33:300451,33:300457,33:300458,33:300459,33:300463,33:300467,33:300474,33:300476,33:300484,33:300485,33:300495,33:300496,33:300498,33:300502,33:300506,33:300516,33:300518,33:300527,33:300558,33:300616,33:300618,33:300628,33:300666,"
d815,深圳国资改革,"33:000006,33:000011,33:000014,33:000019,33:000023,33:000025,33:000027,33:000029,33:000042,33:000045,33:000058,33:000061,33:000070,33:000088,33:000089,33:000090,33:000096,33:002238,33:002243,33:300675,17:600548,17:601139,"
d818,振兴东北,"33:000059,33:000410,33:000420,33:000511,33:000546,33:000585,33:000587,33:000597,33:000616,33:000623,33:000633,33:000661,33:000669,33:000679,33:000686,33:000692,33:000698,33:000751,33:000901,33:000922,33:000928,33:000985,33:002118,33:002123,33:002204,33:002220,33:002231,33:002232,33:002487,17:600095,17:600125,17:600148,17:600167,17:600178,17:600182,17:600187,17:600189,17:600202,17:600215,17:600231,22:600289,17:600306,17:600317,17:600333,17:600346,17:600356,17:600360,17:600365,17:600396,17:600399,17:600593,17:600598,17:600609,17:600664,17:600694,17:600697,17:600701,17:600715,17:600718,17:600719,17:600742,17:600758,17:600795,17:600811,17:600829,17:600853,17:600864,17:600867,17:600891,17:601999,"
d81a,PPP概念,"33:000010,33:000018,33:000040,33:000068,33:000498,33:000514,33:000540,33:000598,33:000605,33:000711,33:000778,33:000826,33:000875,33:000900,33:000925,33:000961,33:000967,33:002002,33:002060,33:002062,33:002081,33:002097,33:002135,33:002140,33:002146,33:002200,33:002205,33:002236,33:002298,33:002307,33:002310,33:002374,33:002411,33:002421,33:002431,33:002480,33:002541,33:002586,33:002596,33:002610,33:002628,33:002630,33:002658,33:002663,33:002672,33:002674,33:002717,33:002743,33:002775,33:002822,33:002883,33:300001,33:300010,33:300020,33:300021,33:300023,33:300030,33:300044,33:300055,33:300056,33:300067,33:300070,33:300090,33:300098,33:300137,33:300139,33:300145,33:300152,33:300172,33:300187,33:300197,33:300198,33:300203,33:300210,33:300212,33:300237,33:300249,33:300262,33:300263,33:300266,33:300275,33:300284,33:300301,33:300332,33:300334,33:300355,33:300362,33:300388,33:300422,33:300437,33:300495,33:300517,33:300536,17:600008,17:600039,17:600053,17:600068,17:600100,17:600170,17:600187,17:600292,17:600320,17:600340,17:600382,17:600406,17:600491,17:600502,17:600510,17:600512,17:600526,17:600562,17:600568,17:600602,17:600606,17:600610,17:600704,17:600820,17:600831,17:600846,17:600853,17:600874,17:600963,17:601186,17:601199,17:601200,17:601390,17:601668,17:601669,17:601766,17:601789,17:601800,17:601998,17:603007,17:603359,17:603388,17:603568,17:603588,17:603603,17:603616,17:603636,17:603686,17:603778,17:603828,17:603887,17:603903,17:603955,"
d81b,地下管网,"33:000778,33:000826,33:002108,33:002205,33:002372,33:002443,33:002457,33:002621,33:002641,33:002671,33:002694,33:002871,33:300036,33:300075,33:300198,33:300210,33:300434,33:300599,17:600155,17:600480,17:600491,17:601028,17:601668,17:603616,17:603856,"
d81d,高校,"33:000526,33:000537,33:000590,33:000836,33:000915,33:000925,33:000938,33:000988,33:000990,33:002297,33:300161,33:300523,17:600076,17:600530,17:600551,17:600601,17:600624,17:600661,17:600701,17:600718,17:600730,17:600750,17:600797,22:600806,17:600846,17:601901,17:603026,"
d82c,腾讯概念,"33:000016,33:000027,33:000100,33:000410,33:000430,33:000638,33:000679,33:000681,33:000861,33:000925,33:002065,33:002235,33:002277,33:002405,33:002419,33:002424,33:002425,33:002432,33:002439,33:002482,33:002656,33:002681,33:002697,33:002739,33:300027,33:300047,33:300096,33:300113,33:300131,33:300170,33:300229,33:300279,33:300315,33:300348,33:300369,33:300462,33:300469,17:600109,17:600122,17:600130,17:600226,17:600306,17:600380,17:600446,17:600637,17:600831,17:600859,17:600867,17:600880,17:600978,17:601933,17:603019,17:603258,17:603881,"
d87e,,
d885,ST板块,"33:000403,33:000410,33:000526,33:000595,33:000613,33:000659,33:000693,33:000755,33:000780,33:000803,33:000809,33:000912,33:000922,33:000932,33:000953,33:000972,33:000982,33:002070,33:002134,33:002207,33:002248,33:002306,33:002312,33:002473,33:002490,33:002504,33:002571,22:600074,22:600091,22:600112,22:600121,22:600145,22:600149,22:600225,22:600228,22:600234,22:600247,22:600265,22:600275,22:600289,22:600301,22:600401,22:600403,22:600423,22:600425,22:600540,22:600556,22:600608,22:600636,22:600654,22:600680,22:600696,22:600710,22:600725,22:600732,22:600733,22:600747,22:600767,22:600815,22:600817,22:600844,22:600847,22:600860,22:600877,22:601005,22:601106,22:601519,22:601558,"
d886,证金持股,"33:000001,33:000006,33:000027,33:000031,33:000039,33:000049,33:000062,33:000088,33:000090,33:000099,33:000166,33:000301,33:000333,33:000338,33:000400,33:000422,33:000511,33:000528,33:000539,33:000550,33:000559,33:000587,33:000589,33:000592,33:000598,33:000600,33:000616,33:000620,33:000625,33:000629,33:000631,33:000652,33:000661,33:000680,33:000686,33:000690,33:000719,33:000726,33:000729,33:000762,33:000780,33:000800,33:000816,33:000830,33:000848,33:000852,33:000869,33:000897,33:000900,33:000921,33:000930,33:000931,33:000939,33:000951,33:000962,33:000969,33:000973,33:000997,33:002012,33:002017,33:002024,33:002030,33:002040,33:002041,33:002051,33:002056,33:002064,33:002068,33:002108,33:002128,33:002140,33:002143,33:002144,33:002155,33:002166,33:002168,33:002177,33:002189,33:002192,33:002205,33:002222,33:002237,33:002251,33:002265,33:002269,33:002273,33:002275,33:002287,33:002314,33:002315,33:002323,33:002337,33:002342,33:002355,33:002371,33:002393,33:002394,33:002401,33:002405,33:002423,33:002430,33:002444,33:002457,33:002459,33:002463,33:002469,33:002490,33:002533,33:002629,33:002637,33:002646,33:002656,33:002658,33:002678,33:002679,33:002682,33:002724,33:002725,33:002731,33:002732,33:002735,33:002749,33:002752,33:002755,33:002767,33:300023,33:300024,33:300030,33:300033,33:300034,33:300039,33:300072,33:300082,33:300088,33:300101,33:300104,33:300111,33:300115,33:300125,33:300127,33:300139,33:300216,33:300223,33:300231,33:300246,33:300250,33:300253,33:300264,33:300270,33:300329,33:300341,33:300344,33:300354,33:300402,33:300405,33:300408,33:300413,33:300417,33:300428,33:300435,33:300446,33:300458,33:300465,33:300469,33:300485,17:600006,17:600008,17:600009,17:600010,17:600016,17:600023,17:600028,17:600030,17:600037,17:600039,17:600053,17:600056,17:600058,17:600059,17:600060,17:600064,17:600066,17:600068,17:600086,17:600100,17:600104,22:600112,17:600120,17:600132,17:600153,17:600158,17:600169,17:600177,17:600187,17:600196,17:600199,17:600200,17:600201,17:600216,17:600252,17:600256,17:600259,17:600266,17:600270,17:600284,22:600289,17:600299,17:600309,17:600317,17:600325,17:600332,17:600335,17:600348,17:600359,17:600373,17:600376,22:600403,17:600409,17:600415,22:600425,17:600426,17:600460,17:600488,17:600500,17:600510,17:600516,17:600518,17:600522,17:600528,17:600535,17:600536,17:600546,17:600547,17:600551,17:600557,17:600563,17:600583,17:600584,17:600586,17:600587,17:600594,17:600597,17:600601,17:600618,17:600628,22:600636,17:600639,17:600642,17:600651,17:600657,17:600663,17:600664,17:600688,17:600704,17:600717,17:600720,17:600729,17:600737,17:600741,22:600747,17:600748,17:600750,17:600754,17:600757,17:600759,17:600761,17:600773,17:600776,17:600783,17:600787,17:600795,17:600805,17:600808,17:600809,17:600816,17:600820,17:600825,17:600826,17:600831,17:600835,17:600837,17:600839,17:600873,17:600874,17:600875,17:600880,17:600881,17:600884,17:600894,17:600895,17:600959,17:600971,17:600978,17:600981,17:600983,17:600993,17:600997,17:601001,17:601002,17:601018,17:601021,17:601099,17:601117,17:601118,17:601127,17:601155,17:601158,17:601198,17:601200,17:601211,17:601226,17:601231,17:601258,17:601288,17:601336,17:601377,17:601398,17:601555,17:601618,17:601628,17:601666,17:601669,17:601717,17:601777,17:601800,17:601808,17:601818,17:601888,17:601898,17:601908,17:601928,17:601939,17:601958,17:601969,17:601988,17:601998,17:601999,17:603366,17:603555,17:603698,17:603699,17:603899,"
d8b3,,
d8b4,能源互联网,"33:000591,33:000669,33:002063,33:002121,33:002202,33:002256,33:002335,33:002339,33:002364,33:002443,33:002546,33:002610,33:002733,33:300068,33:300118,33:300184,33:300274,33:300286,33:300325,33:300338,33:300360,33:300427,33:300682,17:600406,17:600481,17:600487,17:600604,17:600718,17:600869,17:601222,17:603859,"
d8b6,互联网医疗,"33:000150,33:000502,33:000503,33:000566,33:000638,33:002004,33:002038,33:002065,33:002148,33:002223,33:002262,33:002312,33:002390,33:002421,33:002424,33:002432,33:002433,33:002589,33:002727,33:300003,33:300007,33:300015,33:300020,33:300049,33:300078,33:300104,33:300168,33:300253,33:300273,33:300288,33:300479,33:300550,17:600196,17:600260,17:600518,17:600568,17:600570,17:600572,17:600587,17:600588,17:600718,22:600767,17:600797,17:600998,17:603990,"
d8ba,,
d8bb,集成电路,"33:000725,33:000733,33:000818,33:002023,33:002036,33:002049,33:002077,33:002079,33:002119,33:002129,33:002151,33:002156,33:002180,33:002185,33:002331,33:002371,33:002436,33:002553,33:002916,33:300046,33:300053,33:300054,33:300077,33:300101,33:300183,33:300195,33:300223,33:300236,33:300316,33:300327,33:300346,33:300373,33:300398,33:300429,33:300456,33:300458,33:300474,33:300493,33:300604,33:300613,33:300666,33:300671,33:300672,17:600171,17:600198,17:600360,17:600460,17:600520,17:600584,17:600667,17:600703,17:600764,17:600990,17:603005,17:603010,17:603160,17:603501,17:603690,17:603933,17:603936,"
d8bc,,
d8c9,,
d8ca,,
d8d0,,
d8d1,,
d8d2,供应链金融,"33:000001,33:000890,33:002024,33:002095,33:002140,33:002164,33:002183,33:002228,33:002279,33:002280,33:002290,33:002388,33:002417,33:002451,33:002535,33:002558,33:002569,33:002668,33:002721,33:002740,33:002769,33:300170,33:300176,33:300226,33:300243,33:300277,33:300325,33:300409,33:300465,17:600120,17:600180,17:600219,17:600711,17:601225,17:601801,17:603799,"
d8d3,,
d8d5,,
d8d6,,
d8d7,,
d8d8,人脸识别,"33:002065,33:002177,33:002230,33:002236,33:002253,33:002362,33:002373,33:002415,33:002456,33:300044,33:300053,33:300076,33:300098,33:300248,33:300300,33:300306,33:300367,33:300462,33:300479,17:600271,17:600701,17:600728,17:603160,17:603660,"
d8d9,,
d8dd,,
d8e4,航运,"33:000039,33:000507,33:002320,33:002401,33:002685,17:600026,17:600242,17:600260,17:600428,17:600688,17:600751,17:600798,17:600896,17:601866,17:601872,17:601919,17:603167,17:603869,"
d8e6,,
d8e7,东盟自贸区,"33:000333,33:000582,33:000726,33:000758,33:000876,33:000978,33:001696,33:002032,33:002042,17:600068,17:600368,17:600448,17:600712,17:601058,17:601339,17:603558,"
d8e8,,
d8ea,,
d8eb,车联网,"33:000066,33:000572,33:000625,33:000670,33:000901,33:000909,33:002010,33:002024,33:002055,33:002232,33:002253,33:002326,33:002331,33:002355,33:002363,33:002376,33:002405,33:002446,33:002456,33:002590,33:002594,33:002642,33:002681,33:002766,33:002813,33:300045,33:300098,33:300184,33:300209,33:300212,33:300219,33:300458,33:300496,17:600035,17:600166,17:600198,22:600289,17:600306,17:600653,17:600699,17:600718,17:600745,17:600845,17:601238,17:601313,17:601799,17:603023,"
d8ec,油品升级,"33:000581,33:000637,33:002221,33:002408,33:002469,33:002478,33:002564,33:002629,33:300072,33:300135,33:300191,17:600387,17:600856,17:601798,17:603003,17:603637,"
d8ed,,
d8ee,移动互联网,"33:000020,33:000049,33:000050,33:000063,33:000100,33:000676,33:000725,33:000796,33:000829,33:000851,33:000917,33:002017,33:002027,33:002095,33:002104,33:002106,33:002115,33:002123,33:002127,33:002148,33:002154,33:002209,33:002241,33:002261,33:002269,33:002273,33:002292,33:002316,33:002343,33:002354,33:002374,33:002396,33:002417,33:002432,33:002467,33:002491,33:002502,33:002563,33:002619,33:002622,33:002656,33:002657,33:002663,33:002699,33:002736,33:002739,33:002830,33:300027,33:300033,33:300050,33:300051,33:300077,33:300081,33:300085,33:300093,33:300128,33:300130,33:300133,33:300136,33:300205,33:300219,33:300229,33:300242,33:300251,33:300297,33:300307,33:300310,33:300420,33:300459,33:300467,33:300494,33:300496,33:300608,33:300612,33:300616,33:300638,17:600064,17:600198,17:600229,17:600363,17:600373,17:600481,17:600498,17:600718,17:600723,17:600734,17:600745,17:600770,17:603189,17:603608,17:603721,17:603888,"
d8f0,,
d8f2,,
d8f6,,
d8f9,医药电商,"33:000638,33:000756,33:000788,33:002262,33:002433,33:002462,33:002589,33:002603,33:002727,33:300003,33:300146,33:300151,33:300288,17:600332,17:600351,17:600511,17:600557,17:600572,17:600713,17:600829,17:600993,17:600998,17:601607,17:603368,17:603883,17:603939,"
d90b,,
d90c,,
d919,,
d93a,农村电商,"33:000061,33:000525,33:000564,33:000731,33:000816,33:000876,33:000902,33:002024,33:002170,33:002215,33:002321,33:002385,33:002470,33:002477,33:002496,33:002538,33:002539,33:002556,33:002588,33:300022,33:300044,33:300212,17:600438,17:603077,"
d93b,二维码识别,"33:000997,33:002047,33:002197,33:002657,33:300271,33:300462,33:300656,17:600271,"
d93c,广东自贸区,"33:000005,33:000022,33:000507,33:000524,33:000529,33:002016,33:002141,33:002336,33:002672,17:600098,17:600185,17:600325,"
d94e,农业现代化,"33:000998,33:002041,33:002069,33:002391,33:002477,33:002505,33:002556,33:002779,33:300022,33:300087,33:300096,33:300106,33:300159,33:300189,33:300197,17:600108,17:600354,17:600371,17:600389,17:600486,17:601038,17:601118,17:603766,"
d94f,互联网保险,"33:000027,33:000540,33:000627,33:000851,33:002024,33:002029,33:002197,33:002312,33:002315,33:002403,33:002437,33:002602,33:002607,33:002668,33:002670,33:300085,33:300163,33:300178,33:300253,33:300279,33:300312,33:300399,17:600446,17:601318,17:601336,17:601601,17:601628,"
d951,农机,"33:000157,33:000816,33:000903,33:002046,33:002890,33:002921,33:300022,33:300159,17:600805,17:601038,17:603029,17:603701,17:603766,17:603767,17:603789,"
d952,西安自贸区,"33:000516,33:000564,33:000610,33:000721,33:300103,17:600665,17:600706,"
d953,参股保险,"33:000046,33:000056,33:000100,33:000419,33:000428,33:000531,33:000533,33:000540,33:000563,33:000617,33:000627,33:000671,33:000712,33:000751,33:000798,33:000861,33:000961,33:000989,33:002030,33:002065,33:002091,33:002122,33:002131,33:002195,33:002215,33:002261,33:002271,33:002320,33:002421,33:002492,33:002524,33:002533,33:002542,33:002558,33:002622,33:002653,33:002700,33:002717,33:002756,33:300003,33:300024,33:300096,33:300147,33:300287,33:300451,17:600020,17:600070,17:600094,17:600110,22:600112,17:600120,17:600143,17:600167,17:600175,17:600177,17:600195,17:600219,17:600241,22:600247,17:600248,17:600291,17:600390,17:600392,17:600400,17:600510,17:600570,17:600588,17:600657,17:600704,17:600718,17:600759,17:600816,17:601155,17:601216,17:601555,17:601678,17:601766,17:601857,17:601908,17:601999,17:603555,17:603669,17:603696,17:603708,17:603843,17:603858,17:603999,"
d954,,
d956,参股券商,"33:000027,33:000031,33:000039,33:000046,33:000402,33:000429,33:000505,33:000538,33:000543,33:000563,33:000568,33:000596,33:000615,33:000617,33:000623,33:000652,33:000685,33:000702,33:000712,33:000732,33:000733,33:000736,33:000756,33:000793,33:000812,33:000828,33:000877,33:000897,33:000900,33:000936,33:000965,33:000987,33:002018,33:002020,33:002054,33:002116,33:002316,33:002357,33:002670,33:300059,33:300085,17:600048,17:600054,17:600056,17:600063,17:600064,17:600068,17:600079,17:600106,17:600108,17:600120,17:600122,17:600136,17:600155,17:600156,17:600170,17:600177,17:600190,17:600191,17:600208,17:600249,17:600252,17:600261,17:600266,17:600269,17:600278,17:600287,17:600292,17:600310,17:600336,17:600350,17:600362,17:600380,17:600390,17:600415,17:600530,17:600565,17:600571,17:600611,17:600621,17:600635,17:600639,17:600642,17:600643,17:600649,17:600650,17:600651,17:600663,17:600676,17:600695,17:600704,17:600705,17:600716,17:600736,17:600739,17:600741,17:600754,17:600755,17:600802,17:600811,22:600815,17:600823,17:600826,17:600839,17:600851,17:600864,17:600881,17:600884,17:600896,17:601390,17:601628,17:601789,17:601999,17:603828,17:603999,"
d957,工业4.0,"33:000021,33:000100,33:000410,33:000425,33:000559,33:000584,33:000599,33:000651,33:000711,33:000821,33:000837,33:000988,33:002011,33:002031,33:002063,33:002073,33:002184,33:002203,33:002228,33:002283,33:002303,33:002318,33:002347,33:002363,33:002369,33:002380,33:002397,33:002404,33:002406,33:002411,33:002415,33:002426,33:002438,33:002520,33:002526,33:002541,33:002543,33:002547,33:002559,33:002621,33:002685,33:002747,33:002786,33:002833,33:002851,33:002903,33:300023,33:300024,33:300097,33:300115,33:300124,33:300126,33:300136,33:300154,33:300161,33:300166,33:300173,33:300193,33:300195,33:300201,33:300222,33:300227,33:300275,33:300276,33:300278,33:300281,33:300293,33:300307,33:300316,33:300345,33:300353,33:300358,33:300367,33:300370,33:300378,33:300391,33:300410,33:300412,33:300420,33:300430,33:300441,33:300450,33:300457,33:300461,33:300464,33:300466,33:300472,33:300484,33:300490,33:300503,33:300508,33:300509,33:300512,33:300545,33:300549,33:300580,33:300607,33:300626,33:300667,17:600031,17:600089,17:600172,17:600176,17:600282,17:600321,17:600336,17:600448,17:600481,17:600545,17:600560,17:600690,22:600806,17:600875,17:600894,17:601100,17:601608,17:601689,17:601727,17:603012,17:603015,17:603085,17:603131,17:603308,17:603315,17:603337,17:603338,17:603358,17:603396,17:603416,17:603520,17:603656,17:603728,17:603898,17:603901,17:603933,17:603960,17:603996,"
d99c,福建自贸区,"33:000592,33:000632,33:000753,33:000905,17:600033,17:600057,17:600153,17:600755,17:600802,22:600815,17:600897,"
d9ac,,
d9ad,,
d9ae,,
d9cf,体育产业,"33:000558,33:000592,33:000652,33:000796,33:002024,33:002027,33:002081,33:002105,33:002168,33:002181,33:002264,33:002346,33:002395,33:002400,33:002482,33:002486,33:002489,33:002694,33:002780,33:002832,33:002858,33:002899,33:300005,33:300043,33:300104,33:300162,33:300269,33:300280,33:300291,33:300431,33:300526,33:300651,17:600018,17:600052,17:600136,17:600158,17:600358,17:600555,17:600633,17:600814,17:600881,17:601966,17:603129,17:603555,17:603908,"
da00,,
